id,waza_in,waza_out,rank
1,正面打ち,一教(表),5
2,正面打ち,一教(裏),5
3,正面打ち,二教(表),5
4,正面打ち,二教(裏),5
5,正面打ち,三教(表),5
6,正面打ち,三教(裏),5
7,正面打ち,四教(表),5
8,正面打ち,四教(裏),5
9,正面打ち,四方投げ(表),3
10,正面打ち,四方投げ(裏),3
11,正面打ち,入り身投げ,5
12,正面打ち,小手返し,3
13,正面打ち,回転投げ,3
14,正面打ち,呼吸投げ,3
15,正面打ち,十字投げ,-1
16,正面打ち,腰投げ,-1
17,正面打ち,隅落とし,3
18,正面打ち,天秤投げ,3
19,片手取り,一教(表),3
20,片手取り,一教(裏),3
21,片手取り,二教(表),3
22,片手取り,二教(裏),3
23,片手取り,三教(表),3
24,片手取り,三教(裏),3
25,片手取り,四教(表),3
26,片手取り,四教(裏),3
27,片手取り,四方投げ(表),5
28,片手取り,四方投げ(裏),5
29,片手取り,入り身投げ,3
30,片手取り,小手返し,3
31,片手取り,回転投げ,3
32,片手取り,呼吸投げ,3
33,片手取り,十字投げ,-1
34,片手取り,隅落とし,3
35,片手取り,天秤投げ,3
36,片手取り,腰投げ,-1
37,交差取り,一教(表),3
38,交差取り,一教(裏),3
39,交差取り,二教(表),3
40,交差取り,二教(裏),3
41,交差取り,三教(表),3
42,交差取り,三教(裏),3
43,交差取り,四教(表),3
44,交差取り,四教(裏),3
45,交差取り,四方投げ(表),3
46,交差取り,四方投げ(裏),3
47,交差取り,入り身投げ,3
48,交差取り,小手返し,3
49,交差取り,回転投げ,3
50,交差取り,呼吸投げ,3
51,交差取り,十字投げ,-1
52,交差取り,腰投げ,-1
53,交差取り,隅落とし,3
54,交差取り,天秤投げ,3
55,突き,一教(表),3
56,突き,一教(裏),3
57,突き,二教(表),3
58,突き,二教(裏),3
59,突き,三教(表),3
60,突き,三教(裏),3
61,突き,四教(表),3
62,突き,四教(裏),3
63,突き,四方投げ(表),3
64,突き,四方投げ(裏),3
65,突き,入り身投げ,3
66,突き,小手返し,5
67,突き,回転投げ,3
68,突き,呼吸投げ,3
69,突き,腰投げ,-1
70,突き,隅落とし,3
71,突き,天秤投げ,3
72,横面打ち,一教(表),3
73,横面打ち,一教(裏),3
74,横面打ち,二教(表),3
75,横面打ち,二教(裏),3
76,横面打ち,三教(表),3
77,横面打ち,三教(裏),3
78,横面打ち,四教(表),3
79,横面打ち,四教(裏),3
80,横面打ち,四方投げ(表),3
81,横面打ち,四方投げ(裏),3
82,横面打ち,入り身投げ,3
83,横面打ち,小手返し,3
84,横面打ち,回転投げ,3
85,横面打ち,呼吸投げ,3
86,横面打ち,十字投げ,-1
87,横面打ち,腰投げ,-1
88,横面打ち,五教(表),1
89,横面打ち,五教(裏),1
90,横面打ち,隅落とし,3
91,横面打ち,天秤投げ,3
92,両手取り,一教(表),1
93,両手取り,一教(裏),1
94,両手取り,二教(表),1
95,両手取り,二教(裏),1
96,両手取り,三教(表),1
97,両手取り,三教(裏),1
98,両手取り,四教(表),1
99,両手取り,四教(裏),1
100,両手取り,四方投げ(表),1
101,両手取り,四方投げ(裏),1
102,両手取り,入り身投げ,1
103,両手取り,小手返し,1
104,両手取り,回転投げ,1
105,両手取り,呼吸投げ,1
106,両手取り,十字投げ,-1
107,両手取り,腰投げ,-1
108,両手取り,天地投げ,3
109,両手取り,隅落とし,3
110,両手取り,天秤投げ,3
111,諸手取り,一教(表),1
112,諸手取り,一教(裏),1
113,諸手取り,二教(表),1
114,諸手取り,二教(裏),1
115,諸手取り,三教(表),1
116,諸手取り,三教(裏),1
117,諸手取り,四教(表),1
118,諸手取り,四教(裏),1
119,諸手取り,四方投げ(表),1
120,諸手取り,四方投げ(裏),1
121,諸手取り,入り身投げ,1
122,諸手取り,小手返し,1
123,諸手取り,回転投げ,1
124,諸手取り,呼吸投げ,1
125,諸手取り,十字投げ,-1
126,諸手取り,腰投げ,-1
127,諸手取り,呼吸法,5
128,諸手取り,隅落とし,1
129,諸手打ち,天秤投げ,1
130,後ろ両手取り,一教(表),-1
131,後ろ両手取り,一教(裏),-1
132,後ろ両手取り,二教(表),-1
133,後ろ両手取り,二教(裏),-1
134,後ろ両手取り,三教(表),-1
135,後ろ両手取り,三教(裏),-1
136,後ろ両手取り,四教(表),-1
137,後ろ両手取り,四教(裏),-1
138,後ろ両手取り,四方投げ(表),-1
139,後ろ両手取り,四方投げ(裏),-1
140,後ろ両手取り,入り身投げ,-1
141,後ろ両手取り,小手返し,-1
142,後ろ両手取り,回転投げ,-1
143,後ろ両手取り,呼吸投げ,-1
144,後ろ両手取り,十字投げ,-1
145,後ろ両手取り,腰投げ,-1
146,後ろ両手取り,隅落とし,-1
147,後ろ両手取り,天秤投げ,-1
148,袖口取り,一教(表),-2
149,袖口取り,一教(裏),-2
150,袖口取り,二教(表),-2
151,袖口取り,二教(裏),-2
152,袖口取り,三教(表),-2
153,袖口取り,三教(裏),-2
154,袖口取り,四教(表),-2
155,袖口取り,四教(裏),-2
156,袖口取り,四方投げ(表),-2
157,袖口取り,四方投げ(裏),-2
158,袖口取り,入り身投げ,-2
159,袖口取り,小手返し,-2
160,袖口取り,回転投げ,-2
161,袖口取り,呼吸投げ,-2
162,袖口取り,十字投げ,-2
163,袖口取り,隅落とし,-2
164,袖口取り,天秤投げ,-2
165,袖取り,一教(表),-1
166,袖取り,一教(裏),-1
167,袖取り,二教(表),-1
168,袖取り,二教(裏),-1
169,袖取り,三教(表),-1
170,袖取り,三教(裏),-1
171,袖取り,四教(表),-1
172,袖取り,四教(裏),-1
173,袖取り,四方投げ(表),-1
174,袖取り,四方投げ(裏),-1
175,袖取り,入り身投げ,-1
176,袖取り,小手返し,-1
177,袖取り,回転投げ,-1
178,袖取り,呼吸投げ,-1
179,袖取り,十字投げ,-1
180,袖取り,隅落とし,-1
181,袖取り,天秤投げ,-1
182,肩取り,一教(表),-1
183,肩取り,一教(裏),-1
184,肩取り,二教(表),-1
185,肩取り,二教(裏),-1
186,肩取り,三教(表),-1
187,肩取り,三教(裏),-1
188,肩取り,四教(表),-1
189,肩取り,四教(裏),-1
190,肩取り,四方投げ(表),-1
191,肩取り,四方投げ(裏),-1
192,肩取り,入り身投げ,-1
193,肩取り,小手返し,-1
194,肩取り,回転投げ,-1
195,肩取り,呼吸投げ,-1
196,肩取り,十字投げ,-1
197,肩取り,隅落とし,-1
198,肩取り,天秤投げ,-1
199,胸取り,一教(表),-1
200,胸取り,一教(裏),-1
201,胸取り,二教(表),-1
202,胸取り,二教(裏),-1
203,胸取り,三教(表),-1
204,胸取り,三教(裏),-1
205,胸取り,四教(表),-1
206,胸取り,四教(裏),-1
207,胸取り,四方投げ(表),-1
208,胸取り,四方投げ(裏),-1
209,胸取り,入り身投げ,-1
210,胸取り,小手返し,-1
211,胸取り,回転投げ,-1
212,胸取り,呼吸投げ,-1
213,胸取り,十字投げ,-1
214,両肩取り,一教(表),-1
215,両肩取り,一教(裏),-1
216,両肩取り,二教(表),-1
217,両肩取り,二教(裏),-1
218,両肩取り,三教(表),-1
219,両肩取り,三教(裏),-1
220,両肩取り,四教(表),-1
221,両肩取り,四教(裏),-1
222,両肩取り,四方投げ(表),-1
223,両肩取り,四方投げ(裏),-1
224,両肩取り,入り身投げ,-1
225,両肩取り,小手返し,-1
226,両肩取り,回転投げ,-1
227,両肩取り,呼吸投げ,-1
228,両肩取り,十字投げ,-1
229,両肩取り,隅落とし,-1
230,両肩取り,天秤投げ,-1
231,後胸取り,一教(表),-2
232,後胸取り,一教(裏),-2
233,後胸取り,二教(表),-2
234,後胸取り,二教(裏),-2
235,後胸取り,三教(表),-2
236,後胸取り,三教(裏),-2
237,後胸取り,四教(表),-2
238,後胸取り,四教(裏),-2
239,後胸取り,四方投げ(表),-2
240,後胸取り,四方投げ(裏),-2
241,後胸取り,入り身投げ,-2
242,後胸取り,小手返し,-2
243,後胸取り,回転投げ,-2
244,後胸取り,呼吸投げ,-2
245,後胸取り,十字投げ,-2
246,後襟取り,一教(表),-2
247,後襟取り,一教(裏),-2
248,後襟取り,二教(表),-2
249,後襟取り,二教(裏),-2
250,後襟取り,三教(表),-2
251,後襟取り,三教(裏),-2
252,後襟取り,四教(表),-2
253,後襟取り,四教(裏),-2
254,後襟取り,四方投げ(表),-2
255,後襟取り,四方投げ(裏),-2
256,後襟取り,入り身投げ,-2
257,後襟取り,小手返し,-2
258,後襟取り,回転投げ,-2
259,後襟取り,呼吸投げ,-2
260,後襟取り,十字投げ,-2
261,後襟取り,隅落とし,-2
262,後襟取り,天秤投げ,-2
